day,month,year,daily_policy_index
29,4,2003,417.10
30,4,2003,553.80
1,5,2003,834.86
2,5,2003,433.61
3,5,2003,390.76
4,5,2003,251.01
5,5,2003,386.52
6,5,2003,1105.69
7,5,2003,481.47
8,5,2003,327.03
9,5,2003,402.11
10,5,2003,307.03
11,5,2003,344.22
12,5,2003,175.12
13,5,2003,159.12
14,5,2003,365.85
15,5,2003,294.79
16,5,2003,674.97
17,5,2003,239.51
18,5,2003,286.32
19,5,2003,422.60
20,5,2003,522.37
21,5,2003,342.68
22,5,2003,323.87
23,5,2003,257.09
24,5,2003,141.33
25,5,2003,223.74
26,5,2003,67.15
27,5,2003,305.52
28,5,2003,307.39
29,5,2003,108.44
30,5,2003,61.08
31,5,2003,237.40
1,6,2003,173.70
2,6,2003,166.23
3,6,2003,259.32
4,6,2003,324.51
5,6,2003,243.21
6,6,2003,481.73
7,6,2003,217.25
8,6,2003,266.45
9,6,2003,474.64
10,6,2003,1645.01
11,6,2003,559.84
12,6,2003,371.77
13,6,2003,237.19
14,6,2003,155.44
15,6,2003,178.25
16,6,2003,267.30
17,6,2003,333.28
18,6,2003,359.36
19,6,2003,224.12
20,6,2003,126.09
21,6,2003,254.02
22,6,2003,176.89
23,6,2003,63.40
24,6,2003,121.98
25,6,2003,534.41
26,6,2003,206.18
27,6,2003,195.62
28,6,2003,406.96
29,6,2003,185.19
30,6,2003,209.19
1,7,2003,326.93
2,7,2003,370.10
3,7,2003,173.79
4,7,2003,256.59
5,7,2003,243.85
6,7,2003,114.42
7,7,2003,226.93
8,7,2003,189.77
9,7,2003,396.43
10,7,2003,217.92
11,7,2003,306.22
12,7,2003,293.02
13,7,2003,468.36
14,7,2003,144.84
15,7,2003,86.89
16,7,2003,145.15
17,7,2003,108.49
18,7,2003,146.72
19,7,2003,58.67
20,7,2003,236.35
21,7,2003,153.35
22,7,2003,409.01
23,7,2003,167.66
24,7,2003,218.04
25,7,2003,112.21
26,7,2003,543.85
27,7,2003,105.82
28,7,2003,119.86
29,7,2003,301.94
30,7,2003,336.94
31,7,2003,409.97
1,8,2003,490.40
2,8,2003,241.09
3,8,2003,114.68
4,8,2003,29.42
5,8,2003,186.07
6,8,2003,198.75
7,8,2003,43.54
8,8,2003,189.28
9,8,2003,124.93
10,8,2003,194.66
11,8,2003,160.46
12,8,2003,287.14
13,8,2003,115.95
14,8,2003,228.22
15,8,2003,177.70
16,8,2003,198.98
17,8,2003,132.79
18,8,2003,51.17
19,8,2003,322.50
20,8,2003,255.67
21,8,2003,310.56
22,8,2003,150.81
23,8,2003,173.24
24,8,2003,202.99
25,8,2003,214.05
26,8,2003,27.18
27,8,2003,339.43
28,8,2003,88.14
29,8,2003,202.69
30,8,2003,103.26
31,8,2003,139.59
1,9,2003,334.41
2,9,2003,84.27
3,9,2003,46.80
4,9,2003,61.75
5,9,2003,187.39
6,9,2003,364.70
7,9,2003,172.92
8,9,2003,280.99
9,9,2003,287.24
10,9,2003,214.52
11,9,2003,370.17
12,9,2003,172.70
13,9,2003,191.13
14,9,2003,154.18
15,9,2003,78.50
16,9,2003,148.61
17,9,2003,383.66
18,9,2003,321.45
19,9,2003,227.94
20,9,2003,256.98
21,9,2003,166.55
22,9,2003,312.79
23,9,2003,278.81
24,9,2003,321.17
25,9,2003,156.71
26,9,2003,81.07
27,9,2003,192.59
28,9,2003,138.37
29,9,2003,77.99
30,9,2003,223.27
1,10,2003,182.17
2,10,2003,246.45
3,10,2003,19.99
4,10,2003,205.38
5,10,2003,189.30
6,10,2003,163.11
7,10,2003,109.13
8,10,2003,242.00
9,10,2003,200.81
10,10,2003,191.15
11,10,2003,267.63
12,10,2003,160.89
13,10,2003,261.35
14,10,2003,197.92
15,10,2003,163.91
16,10,2003,160.08
17,10,2003,197.41
18,10,2003,241.02
19,10,2003,103.54
20,10,2003,143.65
21,10,2003,137.93
22,10,2003,226.59
23,10,2003,235.01
24,10,2003,142.02
25,10,2003,170.15
26,10,2003,217.73
27,10,2003,139.87
28,10,2003,135.03
29,10,2003,127.66
30,10,2003,233.32
31,10,2003,451.73
1,11,2003,252.41
2,11,2003,100.94
3,11,2003,52.61
4,11,2003,295.41
5,11,2003,179.46
6,11,2003,74.13
7,11,2003,249.64
8,11,2003,165.29
9,11,2003,128.79
10,11,2003,255.32
11,11,2003,288.07
12,11,2003,141.57
13,11,2003,66.49
14,11,2003,129.88
15,11,2003,246.21
16,11,2003,139.88
17,11,2003,365.77
18,11,2003,164.28
19,11,2003,376.30
20,11,2003,169.11
21,11,2003,261.62
22,11,2003,227.23
23,11,2003,74.42
24,11,2003,116.42
25,11,2003,101.94
26,11,2003,126.55
27,11,2003,255.70
28,11,2003,123.99
29,11,2003,271.10
30,11,2003,273.29
1,12,2003,411.86
2,12,2003,97.81
3,12,2003,280.09
4,12,2003,74.79
5,12,2003,220.06
6,12,2003,274.34
7,12,2003,263.92
8,12,2003,181.83
9,12,2003,202.68
10,12,2003,394.88
11,12,2003,151.79
12,12,2003,64.28
13,12,2003,98.72
14,12,2003,140.84
15,12,2003,154.94
16,12,2003,147.99
17,12,2003,434.16
18,12,2003,134.89
19,12,2003,271.77
20,12,2003,74.35
21,12,2003,111.84
22,12,2003,81.73
23,12,2003,132.34
24,12,2003,90.05
25,12,2003,0.00
26,12,2003,0.00
27,12,2003,277.14
28,12,2003,124.11
29,12,2003,271.31
30,12,2003,305.97
31,12,2003,251.06
1,1,2004,87.51
2,1,2004,54.02
3,1,2004,89.88
4,1,2004,182.99
5,1,2004,58.08
6,1,2004,84.42
7,1,2004,22.54
8,1,2004,205.08
9,1,2004,138.36
10,1,2004,221.58
11,1,2004,0.00
12,1,2004,142.86
13,1,2004,199.27
14,1,2004,112.57
15,1,2004,23.40
16,1,2004,71.75
17,1,2004,38.48
18,1,2004,102.35
19,1,2004,127.19
20,1,2004,257.20
21,1,2004,186.89
22,1,2004,24.48
23,1,2004,96.33
24,1,2004,128.17
25,1,2004,254.80
26,1,2004,84.50
27,1,2004,57.57
28,1,2004,129.16
29,1,2004,107.66
30,1,2004,21.71
31,1,2004,72.46
1,2,2004,132.39
2,2,2004,166.49
3,2,2004,136.77
4,2,2004,156.65
5,2,2004,169.13
6,2,2004,196.29
7,2,2004,126.47
8,2,2004,30.81
9,2,2004,8.34
10,2,2004,83.63
11,2,2004,97.98
12,2,2004,111.42
13,2,2004,52.18
14,2,2004,141.22
15,2,2004,95.39
16,2,2004,234.21
17,2,2004,55.13
